,hobby,wiki_title,wiki_url,wiki_summary,wiki_categories,hobby_en,hobby_ru,hobby_vector,image_url
274,poker,Poker,https://en.wikipedia.org/wiki/Poker,"Poker is any of a number of card games in which players wager over which hand is best according to that specific game's rules in ways similar to these rankings. Often using a standard deck, poker games vary in deck configuration, the number of cards in play, the number dealt face up or face down, and the number shared by all players, but all have rules that involve one or more rounds of betting.
In most modern poker games, the first round of betting begins with one or more of the players making some form of a forced bet (the blind or ante). In standard poker, each player bets according to the rank they believe their hand is worth as compared to the other players. The action then proceeds clockwise as each player in turn must either match (or ""call"") the maximum previous bet, or fold, losing the amount bet so far and all further involvement in the hand. A player who matches a bet may also ""raise"" (increase) the bet. The betting round ends when all players have either called the last bet or folded. If all but one player folds on any round, the remaining player collects the pot without being required to reveal their hand. If more than one player remains in contention after the final betting round, a showdown takes place where the hands are revealed, and the player with the winning hand takes the pot.
With the exception of initial forced bets, money is only placed into the pot voluntarily by a player who either believes the bet has positive expected value or who is trying to bluff other players for various strategic reasons. Thus, while the outcome of any particular hand significantly involves chance, the long-run expectations of the players are determined by their actions chosen on the basis of probability, psychology, and game theory.
Poker has increased in popularity since the beginning of the 20th century and has gone from being primarily a recreational activity confined to small groups of enthusiasts to a widely popular activity, both for participants and spectators, including online, with many professional players and multimillion-dollar tournament prizes.","19th-century card games,American inventions,Anglo-American card games,Articles with Curlie links,Articles with short description,Commons category link is on Wikidata,Gambling games,Games of mental skill,Multiplayer games,Poker,Short description matches Wikidata,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia pending changes protected pages",Poker,Покер,"0.033,0.0486,0.0132,0.0309,0.0191,0.0158,0.2837,0.0298,0.0137,0.0486,0.0196,0.0132,0.0228,0.0357,0.0416,0.0276,0.0266,0.2107,0.018,0.048",https://images.pexels.com/photos/6664182/pexels-photo-6664182.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
275,dodgeball,Dodgeball,https://en.wikipedia.org/wiki/Dodgeball,"Dodgeball is a team sport in which players on two teams try to throw balls and hit opponents, while avoiding being hit themselves. The objective of each team is to eliminate all members of the opposing team by hitting them with thrown balls, catching a ball thrown by an opponent, or inducing an opponent to commit a violation, such as stepping outside the court.
The sport is played informally (in schools and pick-up games) under varying rules; and formally as an international sport, under rules that vary among international governing bodies, such as the World Dodgeball Federation (WDBF) and the World Dodgeball Association (WDA). USA Dodgeball is the governing entity for dodgeball in the United States, with member leagues and clubs across the nation. International dodgeball day is April 27.","All articles with unsourced statements,Articles containing video clips,Articles with unsourced statements from June 2020,Articles with unsourced statements from October 2020,Ball games,Commons category link is on Wikidata,Dodgeball,Games of physical skill,Physical education,Team sports,Wikipedia articles with NDL identifiers",Dodgeball,Вышибалы,"0.0345,0.0275,0.031,0.031,0.0263,0.0462,0.0263,0.0263,0.0275,0.0544,0.0415,0.0298,0.0439,0.0275,0.0368,0.0392,0.0275,0.3444,0.0392,0.0392",https://images.pexels.com/photos/1739321/pexels-photo-1739321.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
276,bonsai tree,Bonsai,https://en.wikipedia.org/wiki/Bonsai,"Bonsai (Japanese: 盆栽, lit. 'tray planting', pronounced [boɰ̃sai] (listen)) is a Japanese version of the original traditional Chinese art penjing or penzai. Unlike penjing, which utilizes traditional techniques to produce entire natural sceneries in small pots that mimic the grandiose and shape of real life sceneries, the Japanese ""bonsai"" only attempts to produce small trees that mimic the shape of real life trees. Similar versions of the art exist in other cultures, including the miniature living landscapes of Vietnamese Hòn non bộ. It was during the Tang dynasty, when penjing was at its height, that the art was first introduced into Japan. 
The loanword ""bonsai"" (a Japanese pronunciation of the original Chinese term penzai) has become an umbrella term in English, attached to many forms of potted or other plants, and also on occasion to other living and non-living things. According to Stephen Orr in The New York Times, ""the term should be reserved for plants that are grown in shallow containers following the precise tenets of bonsai pruning and training, resulting in an artful miniature replica of a full-grown tree in nature."" In the most restrictive sense, ""bonsai"" refers to miniaturized, container-grown trees adhering to Japanese tradition and principles.
Purposes of bonsai are primarily contemplation for the viewer, and the pleasant exercise of effort and ingenuity for the grower.  By contrast with other plant cultivation practices, bonsai is not intended for production of food or for medicine. Instead, bonsai practice focuses on long-term cultivation and shaping of one or more small trees growing in a container.
A bonsai is created beginning with a specimen of source material. This may be a cutting, seedling, or small tree of a species suitable for bonsai development. Bonsai can be created from nearly any perennial woody-stemmed tree or shrub species that produces true branches and can be cultivated to remain small through pot confinement with crown and root pruning. Some species are popular as bonsai material because they have characteristics, such as small leaves or needles, that make them appropriate for the compact visual scope of bonsai.
The source specimen is shaped to be relatively small and to meet the aesthetic standards of bonsai, which emphasizes not the entirety of grand sceneries but rather only the tree itself. When the candidate bonsai nears its planned final size, it is planted in a display pot, usually one designed for bonsai display in one of a few accepted shapes and proportions. From that point forward, its growth is restricted by the pot environment. Throughout the year, the bonsai is shaped to limit growth, redistribute foliar vigor to areas requiring further development, and meet the artist's detailed design.
The practice of bonsai is sometimes confused with dwarfing, but dwarfing generally refers to research, discovery, or creation of plants that are permanent, genetic miniatures of existing species. Plant dwarfing often uses selective breeding or genetic engineering to create dwarf cultivars. Bonsai does not require genetically dwarfed trees but rather depends on growing small trees from regular stock and seeds. Bonsai uses cultivation techniques like pruning, root reduction, potting, defoliation, and grafting to produce small trees that mimic the shape and style of mature, full-size trees.","All articles with failed verification,Articles containing Chinese-language text,Articles containing Japanese-language text,Articles containing Korean-language text,Articles containing Vietnamese-language text,Articles with failed verification from September 2016,Articles with hAudio microformats,Articles with hCards,Articles with short description,Bonsai,Horticulture and gardening,Short description is different from Wikidata,Trees,Wikipedia articles with BNE identifiers,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NDL identifiers",Bonsai Tree,Бонсай,"0.0241,0.0314,0.0111,0.0496,0.1629,0.018,0.0143,0.0154,0.0234,0.0256,0.0093,0.047,0.0151,0.4011,0.026,0.0416,0.0198,0.0103,0.0238,0.0303",https://images.pexels.com/photos/6045734/pexels-photo-6045734.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
277,mountain biking,Mountain biking,https://en.wikipedia.org/wiki/Mountain_biking,"Mountain biking is a sport of riding bicycles off-road, often over rough terrain, usually using specially designed mountain bikes. Mountain bikes share similarities with other bikes but incorporate features designed to enhance durability and performance in rough terrain, such as air or coil-sprung shocks used as suspension, larger and wider wheels and tyres, stronger frame materials, and mechanically or hydraulically actuated disc brakes. Mountain biking can generally be broken down into five distinct categories: cross country, trail riding, all mountain (also referred to as ""Enduro""), downhill, and freeride.This sport requires endurance, core strength and balance, bike handling skills, and self-reliance. Advanced riders pursue both steep technical descents and high incline climbs. In the case of freeride, downhill, and dirt jumping, aerial maneuvers are performed off both natural features and specially constructed jumps and ramps.Mountain bikers ride on off-road trails such as singletrack, back-country roads, wider bike park trails, fire roads, and some advanced trails are designed with jumps, berms, and drop-offs to add excitement to the trail.  Riders with enduro and downhill bikes will often visit ski resorts that stay open in the summer to ride downhill-specific trails, using the ski lifts to return to the top with their bikes. Because riders are often far from civilization, there is a strong element of self-reliance in the sport. Riders learn to repair broken bikes and flat tires to avoid being stranded. Many riders carry a backpack, including water, food, tools for trailside repairs, and a first aid kit in case of injury. Group rides are common, especially on longer treks. Mountain bike orienteering adds the skill of map navigation to mountain biking.","Adventure travel,All articles lacking reliable references,All articles needing additional references,All articles with dead external links,All articles with failed verification,All articles with style issues,Articles lacking reliable references from November 2013,Articles needing additional references from February 2016,Articles with dead external links from April 2020,Articles with failed verification from July 2020,Articles with permanently dead external links,Articles with short description,CS1: long volume value,CS1 errors: URL,CS1 errors: missing periodical,Commons category link is on Wikidata,Cycle sport,Mountain biking,Short description matches Wikidata,Wikipedia articles with BNF identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with style issues from February 2016",Mountain Biking,Катание на горных велосипедах,"0.0292,0.0175,0.0175,0.0236,0.0325,0.0714,0.0208,0.2675,0.0169,0.0325,0.1047,0.0919,0.0336,0.0142,0.0214,0.0242,0.0792,0.0214,0.0358,0.0442",https://images.pexels.com/photos/1010547/pexels-photo-1010547.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
278,make-up artist,Make-up artist,https://en.wikipedia.org/wiki/Make-up_artist,"A make-up or makeup artist (MUA) is an artist whose medium is the human body, applying makeup and prosthetics on others for theatre, television, film, fashion, magazines and other similar productions including all aspects of the modeling industry. Awards given for this profession in the entertainment industry include the Academy Award for Best Makeup and Hairstyling, and entertainment industry awards such as the Emmy Awards, and the Golden Globes. In some countries professional licenses are required by agencies in order for them to hire the MUA. Bigger production companies have in-house makeup artists on their payroll although most MUA's generally are freelance and their times remain flexible depending on the projects.

","All articles needing additional references,Articles needing additional references from May 2018,Commons category link is on Wikidata,Cosmetics people,Fashion occupations,Filmmaking occupations,Make-up artists,Stagecraft,Theatrical occupations,Wikipedia articles needing clarification from January 2016,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NKC identifiers,Wikipedia articles with multiple identifiers",Make-up artist,Визажист,"0.031,0.2391,0.03,0.031,0.0637,0.079,0.0289,0.0517,0.043,0.03,0.0354,0.0267,0.0343,0.0408,0.0365,0.0507,0.0289,0.0365,0.0354,0.0474",https://images.pexels.com/photos/2116142/pexels-photo-2116142.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
279,vintage cars,Vintage car,https://en.wikipedia.org/wiki/Vintage_car,"A vintage car is, in the most general sense, an old automobile, and in the narrower senses of car enthusiasts and collectors, it is a car from the period of 1919 to 1930. Such enthusiasts have categorization schemes for ages of cars that enforce distinctions between antique cars, vintage cars, classic cars, and so on. The classification criteria vary, but consensus within any country is often maintained by major car clubs, for example the Vintage Sports-Car Club (VSCC) in the UK.","1910s cars,1920s cars,All articles lacking in-text citations,All articles that may have off-topic sections,All articles to be expanded,All articles with unsourced statements,Articles lacking in-text citations from October 2016,Articles to be expanded from November 2018,Articles using small message boxes,Articles with unsourced statements from November 2018,Articles with unsourced statements from October 2016,Cars by period,Cars introduced in 1930,Conservation and restoration of vehicles,Webarchive template wayback links,Wikipedia articles needing clarification from November 2018,Wikipedia articles that may have off-topic sections from November 2018",Vintage cars,Винтажные автомобили,"0.0284,0.0322,0.0284,0.0372,0.0511,0.041,0.0739,0.0284,0.0284,0.0436,0.0385,0.1572,0.0473,0.0612,0.0511,0.089,0.0284,0.0663,0.036,0.0322",https://images.pexels.com/photos/3617332/pexels-photo-3617332.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
280,juggling,Juggling,https://en.wikipedia.org/wiki/Juggling,"Juggling is a physical skill, performed by a juggler, involving the manipulation of objects for recreation, entertainment, art or sport. The most recognizable form of juggling is toss juggling. Juggling can be the manipulation of one object or many objects at the same time, most often using one or two hands but also possible with feet. Jugglers often refer to the objects they juggle as props. The most common props are balls, clubs, or rings. Some jugglers use more dramatic objects such as knives, fire torches or chainsaws. The term juggling can also commonly refer to other prop-based manipulation skills, such as diabolo, plate spinning, devil sticks, poi, cigar boxes, contact juggling, hooping, yo-yo, and hat manipulation.","All articles with incomplete citations,Articles containing video clips,Articles prone to spam from March 2012,Articles with incomplete citations from March 2014,Articles with short description,Ball games,Circus skills,Commons link is on Wikidata,Juggling,Short description is different from Wikidata,Street performance,Webarchive template wayback links,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers",Juggling,Жонглирование,"0.0289,0.0387,0.0289,0.0245,0.0245,0.1977,0.0757,0.0321,0.0256,0.0408,0.0452,0.0321,0.1269,0.0289,0.0398,0.0321,0.043,0.0659,0.0441,0.0245",https://images.pexels.com/photos/6764100/pexels-photo-6764100.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
281,speed skating,Speed skating,https://en.wikipedia.org/wiki/Speed_skating,"Speed skating is a competitive form of ice skating in which the competitors race each other in travelling a certain distance on skates. Types of speed skating are long track speed skating, short track speed skating, and marathon speed skating. In the Olympic Games, long-track speed skating is usually referred to as just ""speed skating"", while short-track speed skating is known as ""short track"". The International Skating Union (ISU), the governing body of both ice sports, refers to long track as ""speed skating"" and short track as ""short track skating"".
An international federation was founded in 1892, the first for any winter sport. The sport enjoys large popularity in the Netherlands, Norway and South Korea. There are top international rinks in a number of other countries, including Canada, the United States, Germany, Italy, Japan, Russia, Kazakhstan, China, Belarus and Poland. A World Cup circuit is held with events in those countries plus two events in the Thialf ice hall in Heerenveen, Netherlands.

","All articles needing additional references,All articles with unsourced statements,Articles containing video clips,Articles needing additional references from December 2020,Articles with Dutch-language sources (nl),Articles with Norwegian-language sources (no),Articles with short description,Articles with unsourced statements from December 2020,Articles with unsourced statements from February 2014,Commons category link from Wikidata,Dutch inventions,Ice skating,Individual sports,Short description matches Wikidata,Speed skating,Sports originating in Norway,Sports originating in the Netherlands,Use dmy dates from July 2013,Webarchive template archiveis links,Webarchive template wayback links,Wikipedia articles needing clarification from February 2018,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Winter Olympic sports",Speed Skating,Конькобежный спорт,"0.0263,0.0485,0.0883,0.0427,0.0263,0.0333,0.0357,0.2263,0.0275,0.038,0.0942,0.0368,0.0275,0.0287,0.0345,0.031,0.0322,0.0333,0.0509,0.038",https://images.pexels.com/photos/5553114/pexels-photo-5553114.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
282,breakdancing,Breakdancing,https://en.wikipedia.org/wiki/Breakdancing,"Breakdancing, also called breaking or b-boying/b-girling, is an athletic style of street dance from the United States. While diverse in the amount of variation available in the dance, breakdancing mainly consists of four kinds of movement: toprock, downrock, power moves and freezes. Breakdancing is typically set to songs containing drum breaks, especially in hip-hop, funk, soul music and breakbeat music, although modern trends allow for much wider varieties of music along certain ranges of tempo and beat patterns.
Breakdancing was created by the African American and Puerto Rican youth in the early 1970s. By the late 1970s, the dance had begun to spread to other communities and was gaining wider popularity; at the same time, the dance had peaked in popularity among African Americans and Puerto Ricans.A practitioner of this dance is called a b-boy, b-girl, breakdancer, or breaker. Although the term ""breakdance"" is frequently used to refer to the dance in popular culture and in the mainstream entertainment industry, ""b-boying"" and ""breaking"" were the original terms and are preferred by the majority of the pioneers and most notable practitioners.","All articles needing additional references,All articles with dead external links,All articles with self-published sources,All articles with unsourced statements,Articles containing video clips,Articles needing additional references from February 2021,Articles needing additional references from November 2007,Articles with dead external links from October 2016,Articles with permanently dead external links,Articles with self-published sources from July 2021,Articles with short description,Articles with unsourced statements from February 2021,Breakdance,CS1: Julian–Gregorian uncertainty,CS1 French-language sources (fr),Commons category link is on Wikidata,Hip hop dance,Short description matches Wikidata,Street dance,Use mdy dates from July 2021,Webarchive template wayback links,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers",Breakdancing,Брейк-данс,"0.0255,0.0263,0.0238,0.028,0.0489,0.3145,0.0297,0.0196,0.099,0.0338,0.0422,0.023,0.053,0.0355,0.0547,0.0447,0.0313,0.0213,0.0188,0.0263",https://images.pexels.com/photos/5385727/pexels-photo-5385727.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
283,papermache,Lalim,https://en.wikipedia.org/wiki/Lalim,"Lalim is a civil parish (freguesia) in Lamego Municipality in the Viseu District of the Norte Region of Portugal. The population in 2011 was 729, in an area of 7.22 km².","AC with 0 elements,Articles containing Portuguese-language text,Articles with short description,CS1 Portuguese-language sources (pt),Coordinates on Wikidata,Parishes of Lamego,Populated places in Viseu District,Short description is different from Wikidata",Papermache,Папье-маше,"0.0639,0.0472,0.0472,0.0472,0.0472,0.0472,0.0472,0.0577,0.0472,0.0472,0.0472,0.0472,0.0472,0.0639,0.0493,0.0472,0.0514,0.0472,0.0535,0.0472",https://images.pexels.com/photos/6792458/pexels-photo-6792458.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
284,macrame,Macramé,https://en.wikipedia.org/wiki/Macram%C3%A9,"Macramé is a form of textile produced using knotting (rather than weaving or knitting) techniques.
The primary knots of macramé are the square (or reef knot) and forms of ""hitching"": various combinations of half hitches. It was long crafted by sailors, especially in elaborate or ornamental knotting forms, to cover anything from knife handles to bottles to parts of ships.
Cavandoli macramé is one variety that is used to form geometric and free-form patterns like weaving. The Cavandoli style is done mainly in a single knot, the double half-hitch knot. Reverse half hitches are sometimes used to maintain balance when working left and right halves of a balanced piece.
Leather or fabric belts are another accessory often created via macramé techniques.  Most friendship bracelets exchanged among schoolchildren and teens are created using this method. Vendors at theme parks, malls, seasonal fairs and other public places may sell macramé jewelry or decoration as well.","1970s fads and trends,Articles containing Arabic-language text,Articles with short description,Commons category link is on Wikidata,Decorative ropework,Lace,Mexican crafts,Short description matches Wikidata,Visual arts,Wikipedia articles with BNE identifiers,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers",Macrame,Макраме,"0.0209,0.0449,0.0491,0.0286,0.0389,0.2209,0.0312,0.0397,0.0235,0.0295,0.0321,0.0192,0.0321,0.0303,0.1474,0.044,0.0791,0.0244,0.0372,0.0269",https://images.pexels.com/photos/7190406/pexels-photo-7190406.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
285,sweepstake,Sweepstake,https://en.wikipedia.org/wiki/Sweepstake,"A sweepstake is a type of contest where a prize or prizes may be awarded to a winner or winners. Sweepstakes began as a form of lottery that were tied to products sold. In response, the FCC and FTC refined U.S. broadcasting laws (creating the anti-lottery laws). Under these laws sweepstakes became strictly ""No purchase necessary to enter or win"" and ""A purchase will not increase your chances of winning"", especially since many sweepstakes companies skirted the law by stating only ""no purchase necessary to enter"", removing the consideration (one of the three legally required elements of gambling) to stop abuse of sweepstakes. Today, sweepstakes in the USA are used as marketing promotions to reward existing consumers and to draw attention to a product. By definition, the winner is determined by luck rather than skill.

","All articles with unsourced statements,Articles with limited geographic scope from December 2017,Articles with unsourced statements from January 2012,Commons link is locally defined,Lotteries,Promotion and marketing communications,United States-centric,Webarchive template wayback links",Sweepstake,Лотереи,"0.0634,0.1214,0.0398,0.0251,0.028,0.0428,0.1008,0.027,0.0349,0.0251,0.0595,0.0369,0.0438,0.0221,0.0487,0.0949,0.0644,0.0565,0.0339,0.031",https://unsplash.com/photos/hGj9_mK3QyA/download
286,dj,Disc jockey,https://en.wikipedia.org/wiki/Disc_jockey,"A disc jockey, more commonly abbreviated as DJ, is a person who plays recorded music for an audience. Most common types of DJs include: radio DJs, club DJs (who work at a nightclub or music festival), mobile DJs (who are hired to work at public and private events such as weddings, parties, or festivals), and turntablists (who use record players, usually turntables, to manipulate sounds on phonograph records). Originally, the ""disc"" in ""disc jockey"" referred to shellac and later vinyl records, but nowadays DJ is used as an all-encompassing term to also describe persons who mix music from other recording media such as cassettes, CDs or digital audio files on a CDJ, controller, or even a laptop. DJs may adopt the title ""DJ"" in front of their real names, adopted pseudonyms, or stage names.
DJs use audio equipment that can play at least two sources of recorded music simultaneously and mix them together to create seamless transitions between recordings and develop unique mixes of songs. Often, this involves aligning the beats of the music sources so their rhythms and tempos do not clash when played together and to enable a smooth transition from one song to another. DJs often use specialized DJ mixers, small audio mixers with crossfader and cue functions to blend or transition from one song to another. Mixers are also used to pre-listen to sources of recorded music in headphones and adjust upcoming tracks to mix with currently playing music. DJ software can be used with a DJ controller device to mix audio files on a computer instead of a console mixer. DJs may also use a microphone to speak to the audience; effects units such as reverb to create sound effects and electronic musical instruments such as drum machines and synthesizers.

","1930s neologisms,All articles to be split,Articles to be split from May 2020,Articles with Curlie links,Articles with short description,Audio mixing,Broadcasting occupations,CS1 maint: archived copy as title,CS1 maint: multiple names: authors list,Commons category link is on Wikidata,DJing,Disco,Electronic dance music,Hip hop production,Mass media occupations,Occupations in music,Radio presenters,Short description is different from Wikidata,Turntablism,Underground culture,Use dmy dates from December 2020,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with multiple identifiers",DJ,Диджей,"0.0309,0.0321,0.0559,0.0272,0.0253,0.034,0.0247,0.0234,0.363,0.0927,0.019,0.0278,0.0409,0.0253,0.0278,0.0309,0.0415,0.0247,0.0321,0.0209",https://images.pexels.com/photos/1649693/pexels-photo-1649693.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
287,charisma,Charisma,https://en.wikipedia.org/wiki/Spiritual_gift,"A spiritual gift or charism (plural: charisms or charismata; in Greek singular: χάρισμα
charisma, plural: χαρίσματα charismata) is a concept in extraordinary power given by the Holy Spirit. These are believed by followers to be supernatural graces which individual Christians need (and needed in the days of the Apostles) to fulfill the mission of the Church. In the narrowest sense, it is a theological term for the extraordinary graces given to individual Christians for the good of others and is distinguished from the graces given for personal sanctification, such as the Seven Gifts of the Holy Spirit and the fruit of the Holy Spirit.These abilities, often termed ""charismatic gifts"", are the, the word of knowledge, increased faith, the gifts of healing, the gift of miracles, prophecy, the discernment of spirits, diverse kinds of tongues, interpretation of tongues. To these are added the gifts of apostles, prophets, teachers, helps (connected to service of the poor and sick), and governments (or leadership ability) which are connected with certain offices in the Church. These gifts are given by the Holy Spirit to individuals, but their purpose is to build up the entire Church. They are described in the New Testament, primarily in 1 Corinthians 12, Romans 12, and Ephesians 4. 1 Peter 4 also touches on the spiritual gifts.The gifts are related to both seemingly ""natural"" abilities and seemingly more ""miraculous"" abilities, empowered by the Holy Spirit. The two major opposing theological positions on their nature is that they ceased long ago or that they continue (Cessationism versus Continuationism).

","All articles with dead external links,All articles with unsourced statements,Articles with dead external links from May 2018,Articles with permanently dead external links,Articles with short description,Articles with specifically marked weasel-worded phrases from March 2020,Articles with unsourced statements from March 2020,Christian terminology,Holy Spirit,Short description is different from Wikidata,Spiritual gifts,Webarchive template wayback links,Wikipedia articles with LCCN identifiers",Charisma,Харизма,"0.0973,0.0332,0.0287,0.0384,0.0302,0.0242,0.0183,0.0265,0.0175,0.0466,0.0175,0.0287,0.0488,0.0794,0.0377,0.0242,0.0242,0.0235,0.0265,0.3285",https://images.pexels.com/photos/6968812/pexels-photo-6968812.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
288,cave diving,Cave diving,https://en.wikipedia.org/wiki/Cave_diving,"Cave diving is underwater diving in water-filled caves. It may be done as an extreme sport, a way of exploring flooded caves for scientific investigation, or for the search for and recovery of divers lost while diving for one of these reasons. The equipment used varies depending on the circumstances, and ranges from breath hold to surface supplied, but almost all cave diving is done using scuba equipment, often in specialised configurations with redundancies such as sidemount or backmounted twinset. Recreational cave diving is generally considered to be a type of technical diving due to the lack of a free surface during large parts of the dive, and often involves planned decompression stops.
In the United Kingdom, cave diving developed from the locally more common activity of caving. Its origins in the United States are more closely associated to recreational scuba diving. Compared to caving and scuba diving, there are relatively few practitioners of cave diving. This is due in part to the specialized equipment and skill sets required, and in part because of the high potential risks due to the specific environment.
Despite these risks, water-filled caves attract scuba divers, cavers, and speleologists due to their often unexplored nature, and present divers with a technical diving challenge. Underwater caves have a wide range of physical features, and can contain fauna not found elsewhere.","All articles needing additional references,All articles to be expanded,All articles with empty sections,All articles with unsourced statements,All articles with vague or ambiguous time,Articles needing additional references from April 2016,Articles to be expanded from August 2020,Articles to be expanded from October 2019,Articles to be expanded from September 2017,Articles using small message boxes,Articles with empty sections from September 2017,Articles with short description,Articles with unsourced statements from April 2013,Articles with unsourced statements from April 2016,Articles with unsourced statements from December 2016,Articles with unsourced statements from January 2012,Articles with unsourced statements from January 2016,Articles with unsourced statements from January 2017,Articles with unsourced statements from July 2010,Articles with unsourced statements from July 2016,Articles with unsourced statements from June 2012,Articles with unsourced statements from June 2019,Articles with unsourced statements from March 2014,Articles with unsourced statements from May 2018,Articles with unsourced statements from September 2012,CS1: long volume value,CS1 Chinese-language sources (zh),CS1 Finnish-language sources (fi),CS1 Norwegian-language sources (no),Cave diving,Short description matches Wikidata,Use dmy dates from September 2020,Vague or ambiguous time from April 2016,Wikipedia articles needing clarification from April 2013,Wikipedia articles needing clarification from December 2016,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers",Cave Diving,Пещерный дайвинг,"0.0419,0.0183,0.0183,0.0341,0.0197,0.0254,0.0369,0.0384,0.0183,0.4297,0.0599,0.0197,0.0384,0.0219,0.0211,0.0247,0.0541,0.0269,0.0305,0.0219",https://images.pexels.com/photos/8849951/pexels-photo-8849951.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
289,amateur radio,Amateur radio,https://en.wikipedia.org/wiki/Amateur_radio,"Amateur radio, also known as ham radio, is the use of radio frequency spectrum for purposes of non-commercial exchange of messages, wireless experimentation, self-training, private recreation, radiosport, contesting, and emergency communication. The term ""amateur"" is used to specify ""a duly authorised person interested in radioelectric practice with a purely personal aim and without pecuniary interest;"" (either direct monetary or other similar reward) and to differentiate it from commercial broadcasting, public safety (such as police and fire), or professional two-way radio services (such as maritime, aviation, taxis, etc.).
The amateur radio service (amateur service and amateur-satellite service) is established by the International Telecommunication Union (ITU) through the Radio Regulations. National governments regulate technical and operational characteristics of transmissions and issue individual station licenses with a unique identifying call sign, which must be used in all transmissions.  Amateur operators must hold an amateur radio license which is obtained by passing a government test demonstrating adequate technical radio knowledge and legal knowledge of the host government's radio regulations.   
Radio amateurs are limited to the use of small frequency bands, the amateur radio bands, allocated throughout the radio spectrum, but within these bands are allowed to transmit on any frequency using a variety of voice, text, image, and data communications modes.  This enables communication across a city, region, country, continent, the world, or even into space. In many countries, amateur radio operators may also send, receive, or relay radio communications between computers or transceivers connected to secure virtual private networks on the Internet.
Amateur radio is officially represented and coordinated by the International Amateur Radio Union (IARU), which is organized in three regions and has as its members the national amateur radio societies which exist in most countries. According to an estimate made in 2011 by the American Radio Relay League, two million people throughout the world are regularly involved with amateur radio. About 830,000 amateur radio stations are located in IARU Region 2 (the Americas) followed by IARU Region 3 (South and East Asia and the Pacific Ocean) with about 750,000 stations. A significantly smaller number, about 400,000, are located in IARU Region 1 (Europe, Middle East, CIS, Africa).","All articles with unsourced statements,Amateur radio,Articles with Curlie links,Articles with short description,Articles with unsourced statements from January 2013,CS1 Chinese-language sources (zh),Commons category link is on Wikidata,History of radio,Radiocommunication services ITU,Short description is different from Wikidata,Use dmy dates from November 2019,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers",Amateur Radio,Любительское радио,"0.1077,0.0854,0.0205,0.0864,0.0236,0.0164,0.0392,0.0345,0.0304,0.0283,0.0241,0.0164,0.0241,0.019,0.0319,0.0569,0.0215,0.0262,0.251,0.0563",https://images.pexels.com/photos/3620411/pexels-photo-3620411.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
290,knapping,Knapping,https://en.wikipedia.org/wiki/Knapping,"Knapping is the shaping of flint, chert, obsidian or other conchoidal fracturing stone through the process of lithic reduction to manufacture stone tools, strikers for flintlock firearms, or to produce flat-faced stones for building or facing walls, and flushwork decoration. The original Germanic term knopp meant to strike, shape, or work, so it could theoretically have referred equally well to making statues or dice. Modern usage is more specific, referring almost exclusively to the hand-tool pressure-flaking process pictured.","All articles needing additional references,Articles needing additional references from August 2012,Experimental archaeology,Lithics,Natural materials,Primitive technology",Knapping,Обработка камня из кремня,"0.0357,0.0404,0.0474,0.0263,0.1971,0.0298,0.0591,0.0263,0.0556,0.038,0.0579,0.0731,0.0298,0.0298,0.0673,0.0368,0.0415,0.0345,0.0345,0.0392",
